Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,2.09246224747113,0.517817629591074,0.0885677563414046,0.0969186522494051,0.526168525499074,13,16,-0.295436367993511,0.410300355223001
1,1,2.00043749982858,0.510240396141287,0.126610111811608,0.0964881931876147,0.528232626271056,14,16,-0.296990364589709,0.412368602087166
1,2,1.54583420574944,0.444323581611629,0.125093362328488,0.0964144433322143,0.529106884713671,15,22,-0.296991431695852,0.413684145920166
1,3,1.35698625092347,0.439043969986981,0.130267009288472,0.0963966216619105,0.529320339627527,16,28,-0.296991484564328,0.414003407553976
1,4,1.25474952409638,0.434408885095296,0.135368626720234,0.096393556459254,0.529357121739846,17,34,-0.296991494832236,0.414058338621294
1,5,1.19105860816798,0.430783125362151,0.139742280067858,0.0963953372058564,0.529335728761079,18,40,-0.296991500015404,0.414026385073756
2,0,2.0924611497091,0.517817475031057,0.0885664805603247,0.0969187981573912,0.526169792628123,16,24,-0.295434790923925,0.41030342737282
2,1,2.00043328038899,0.510241400169005,0.12661121649055,0.0964877353723101,0.528236286969429,17,24,-0.296991276587508,0.412373500813688
2,2,1.51622152439131,0.443080107130057,0.124956689550901,0.0963621707174681,0.529735391430966,18,24,-0.29699138236762,0.414621997619126
2,3,1.34527673353892,0.439104180495127,0.129529311332919,0.0963591041933878,0.529772373115604,19,30,-0.296991421015335,0.414676931289624
2,4,1.24062922031786,0.436713935420756,0.133913943405038,0.0963651478448931,0.529699253478744,20,36,-0.296991475440885,0.414568201557418
2,5,1.17417676271184,0.435017832300809,0.138364595824733,0.096382584392853,0.529489057496304,21,42,-0.296991480720855,0.414255209852913
3,0,2.09245939197007,0.517815712347362,0.0885696211705471,0.096920579180405,0.52616667035722,19,32,-0.295425545790775,0.410305092812237
3,1,2.00043615656084,0.510240992982511,0.126612212443161,0.0964879426372248,0.528233305004669,20,32,-0.296991556913015,0.412368790798156
3,2,1.38722656176531,0.4753356355042,0.101475751568414,0.0961205338999274,0.532723410052175,21,32,-0.296991239987941,0.418984574001499
3,3,1.29355641498075,0.438769420701393,0.129010045795072,0.0963529060487696,0.529847322509457,22,32,-0.296991429739753,0.414788237035292
3,4,1.19650057442598,0.432173025736963,0.137267282529158,0.0964395977158634,0.528806464919743,23,38,-0.2969915335642,0.413233302668913
3,5,1.13727006795989,0.428057233195483,0.143368942690048,0.0964712070504872,0.528431122890785,24,44,-0.296991559034607,0.412667821229252
4,0,2.0924587667298,0.517815031837644,0.0885709431716792,0.0969212598554442,0.526165348521409,22,40,-0.295422081762467,0.410305481368511
4,1,2.00043555764157,0.510241105199861,0.126614385122446,0.0964879996978995,0.528232698474239,23,40,-0.296991521890795,0.412367897490745
4,2,1.294084243428,0.495992248949536,0.0917666656918966,0.0960886333677489,0.534107481681888,24,40,-0.296516643075996,0.421286568964814
4,3,1.24013976483125,0.443503369893363,0.123532720881927,0.0962470654631596,0.53114131980051,25,40,-0.296991369874434,0.416694254639357
4,4,1.16815675721048,0.434315677308841,0.134541399342964,0.0963974209813999,0.529310718355185,26,40,-0.296991498887984,0.41398902300416
4,5,1.10054747406077,0.429880926842003,0.141602084125393,0.0964920210698226,0.528185156297696,27,46,-0.296991573144964,0.412295889657798
5,0,2.09245966970949,0.517815727419558,0.0885700295908523,0.0969205656271895,0.526166263455895,25,48,-0.295425847939959,0.410304249938311
5,1,2.00043438518255,0.510241321992817,0.126614863869181,0.0964879257644157,0.52823352641423,26,48,-0.29699154525931,0.412369134078172
5,2,1.22589441184274,0.471675158653425,0.102900753961317,0.0960662981174722,0.533413469616685,27,48,-0.296991226205066,0.419970001306992
5,3,1.16147764615596,0.441487838604827,0.125389092303905,0.0962393212940465,0.531237028505791,28,48,-0.296991367936803,0.416834047653996
5,4,1.1104179246526,0.434562451990504,0.134484458510192,0.0963664071369708,0.52968405287656,29,48,-0.29699147419565,0.414545594881058
5,5,1.08792133394033,0.430271848335439,0.140452933054912,0.0964567299764847,0.528602792840631,30,48,-0.296991529767259,0.412926780490299
