Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,1.08678533951827,0.268204999019739,0.0527867610673927,0.0652333595055269,0.280651597457874,15,20,-0.159626044637143,0.402068740869214
1,1,0.893269735036899,0.236709131680077,0.0538970550541702,0.060896299571516,0.302952425476653,16,20,-0.103129564237858,0.481121821457826
1,2,0.893268437045212,0.236709135844632,0.0538961325030713,0.0608961971197896,0.302953804090232,17,20,-0.103128409075283,0.48112591400697
1,3,0.893266419517438,0.236709075142557,0.0538955986742625,0.0608959606738677,0.302955385179592,18,20,-0.103125574440338,0.481131121469493
1,4,0.893265191433438,0.236708998481745,0.0538947434130129,0.0608957954668734,0.302956618674367,19,20,-0.103123607298454,0.481135100943223
1,5,0.893263456168194,0.236710052593113,0.0538882604399078,0.0608966558123713,0.302962247494489,20,20,-0.103135119492472,0.481146286920473
2,0,1.08678528737984,0.268204999583393,0.0527866322978396,0.0652333610608697,0.280651728346423,19,30,-0.159625762456135,0.402069188779667
2,1,0.893270415715821,0.236708895940599,0.0538963882432443,0.0608961903087693,0.302952163225669,20,30,-0.103128149869144,0.481121599089898
2,2,0.651143932286801,0.164578335704623,0.0504324928004127,0.0610248000956682,0.307054554753248,21,30,-0.105126012705008,0.491361838588442
2,3,0.65114488557531,0.16457852894389,0.0504334291977941,0.0610247685451436,0.307053359818526,22,30,-0.10512552580602,0.491358848269893
2,4,0.651143141027143,0.164577219002898,0.050433097116003,0.0610248099356243,0.307054671737333,23,30,-0.105126147091816,0.491362101005337
2,5,0.651143685779845,0.164578334046726,0.0504320682897826,0.061024858930711,0.30705501840995,24,30,-0.105126800121685,0.491362789530588
3,0,1.08678508055726,0.26820505900589,0.0527861845343953,0.0652333028667336,0.280652177338228,23,40,-0.159626076743035,0.402070321144335
3,1,0.893268784495816,0.236709423027024,0.0538959463806739,0.0608964594428987,0.302953937803731,24,40,-0.103131752538097,0.481125134894206
3,2,0.605102312009252,0.172749099073868,0.0453759150560406,0.0616111242675066,0.307490515658665,25,40,-0.113515067154249,0.489558134184958
3,3,0.542213286271819,0.16329160486023,0.050702561234968,0.0611208918734601,0.307996804716411,26,40,-0.106420249741752,0.493394807116891
3,4,0.542212399221934,0.163291260890715,0.0507020127075354,0.0611209031153687,0.307997642411589,27,40,-0.106420448656926,0.493396943924596
3,5,0.542212002362315,0.163291139053848,0.0507016585132324,0.0611209237913129,0.307998088922142,28,40,-0.106420742276956,0.493398016802413
4,0,1.08678388559715,0.268205494263667,0.0527836595821473,0.0652328678121265,0.280654702493646,27,50,-0.159630019646646,0.402076003990512
4,1,0.893271778746911,0.236708801358028,0.0538987361531051,0.0608961983540232,0.302949846810059,28,50,-0.103128008038828,0.481115431395565
4,2,0.592672598611017,0.211689407538639,0.0419903792690673,0.0634211083153978,0.301912336227134,29,50,-0.13725851536654,0.466554103411501
4,3,0.51401206932735,0.164108309554994,0.0476042989815204,0.0611381829001526,0.310732828126899,30,50,-0.106781648953532,0.500442254045927
4,4,0.482110322701704,0.16226183826409,0.0519555733301326,0.0611985096685776,0.308062404447691,31,50,-0.107411860013809,0.493217953063353
4,5,0.482110012426808,0.162261868111679,0.0519548196990774,0.0611986109893184,0.308063069120729,32,50,-0.107413190623833,0.493219232932437
5,0,1.08678480350911,0.268205322010347,0.0527855842924332,0.0652330424574936,0.280652780175408,31,60,-0.15963017779081,0.402070681997826
5,1,0.893271034817391,0.236708976760096,0.053898114931479,0.0608962774157711,0.302950842171285,32,60,-0.103129116304367,0.481117725212503
5,2,0.544229880789684,0.192147702692576,0.0419544921976414,0.0626317997610867,0.305352308346831,33,60,-0.128046721575621,0.478808006888379
5,3,0.47523263523722,0.163545934440423,0.0477961889468835,0.0611814298620863,0.311135946094829,34,60,-0.107357611017063,0.50128730694752
5,4,0.453134301258475,0.163086969611325,0.0513396151731096,0.0612980751848494,0.308513666719906,35,60,-0.108700009717992,0.493948756625025
5,5,0.444862130161633,0.161497091643079,0.0535101626811292,0.061261782780937,0.307851330520406,36,60,-0.108193181089017,0.492386815389642
